effortid,date,year,month,day,population,area,section,activity,timestart,effort,observers,observernames,precip,cloud,windspeed,air,water,notchcode,turtleid,idquestionable,idcomments,obsid,method,utme,utmn,spatialproof,accuracy,accuracyDistance,sex,AgeAtCapture
15982,2014-09-23,2014,9,23,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,10:34:00,26,1,Jeffie McNeil,None,85,Light,,,"11-3,8",270,0,,78100,Visual survey,334453,4922390,1,Point,10,M,20+
16097,2001-06-09,2001,6,9,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Set Traps,13:00:00,46,2,"Jeffie McNeil, Troy Frech",None,80,Calm,23,22,"8-8,9",639,0,,37404,Incidental to trapping,334912,4922387,1,Point,10,M,
16097,2001-06-09,2001,6,9,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Set Traps,13:00:00,46,2,"Jeffie McNeil, Troy Frech",None,80,Calm,23,22,"11-2,3",265,0,,37405,Incidental to trapping,334754,4922399,1,Point,10,F,
16097,2001-06-09,2001,6,9,ML (McGowan Lake),WB (West Bog),1M (West Bog 1M),Visual Survey,17:15:00,10,2,"Jeffie McNeil, Troy Frech",None,60,Strong,,,"2,3-3,8",390,0,,37409,Visual survey,334723,4922504,1,Point,10,M,
16098,2001-06-10,2001,6,10,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Check Traps,10:50:00,108,2,"Jeffie McNeil, Troy Frech",None,50,Light,21,19,"11-2,3",265,0,,37412,Incidental to trapping,334757,4922391,1,Point,10,F,
16098,2001-06-10,2001,6,10,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Check Traps,10:50:00,108,2,"Jeffie McNeil, Troy Frech",None,50,Light,21,19,"2,3-2,9",386,0,,37413,Incidental to trapping,334753,4922398,1,Point,10,M,
16098,2001-06-10,2001,6,10,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Check Traps,10:50:00,108,2,"Jeffie McNeil, Troy Frech",None,50,Light,21,19,"11-3,9",271,0,,37414,Incidental to trapping,334813,4922432,1,Point,10,M,20+
16098,2001-06-10,2001,6,10,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,11:44:00,108,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,21,21,"2,3-2,8",385,0,,37416,Incidental to trapping,335025,4922432,1,Point,10,M,20+
16098,2001-06-10,2001,6,10,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,11:44:00,108,2,"Jeffie McNeil, Troy Frech",None,50,Moderate,21,21,"2,3-8,10",393,0,,37417,Incidental to trapping,334990,4922414,1,Point,10,M,
16099,2001-06-11,2001,6,11,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,18:53:00,34,1,Jeffie McNeil,None,20,Light,25,26,"11-1,2",257,0,,37424,Incidental to trapping,335007,4922435,1,Point,10,M,20+
16101,2001-06-12,2001,6,12,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Pull Traps,12:44:00,71,1,Jeffie McNeil,None,100,Calm,22,21,"2,3-3,10",388,0,,37431,Incidental to trapping,334885,4922373,1,Point,10,F,20+
16101,2001-06-12,2001,6,12,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Pull Traps,12:44:00,71,1,Jeffie McNeil,None,100,Calm,22,21,"2,3-2,9",386,0,,37432,Incidental to trapping,334733,4922376,1,Point,10,M,
16101,2001-06-12,2001,6,12,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Pull Traps,12:44:00,71,1,Jeffie McNeil,None,100,Calm,22,21,"11-2,3",265,0,,37433,Incidental to trapping,334764,4922401,1,Point,10,F,
16111,2002-06-11,2002,6,11,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Set Traps,12:28:00,64,2,"Jeffie McNeil, Ian Morrison",Mod - Heavy Rain,100,Calm,12,16,"2,3-3,10",388,0,,37837,Incidental to trapping,334576,4922612,1,Point,10,F,20+
16114,2002-06-12,2002,6,12,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,12:47:00,39,3,"Jeffie McNeil, Jill Adams, 1 other (Jill's student)",Drizzle / Mist,100,Calm,12,14,"8-8,9",639,0,,37552,Incidental to trapping,334956,4922470,1,Point,10,M,
16117,2002-06-13,2002,6,13,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Check Traps,17:34:00,70,2,"Jeffie McNeil, Kim Inglis",None,30,Calm,23,22,"8-3,4",633,0,,37544,Incidental to trapping,334956,4922463,1,Point,10,M,20+
16118,2002-06-14,2002,6,14,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Bait and Check Traps,15:25:00,44,1,Jeffie McNeil,None,80,Calm,22,23,"8-8,10",637,0,,37689,Incidental to trapping,334601,4922619,0,,,F,
16118,2002-06-14,2002,6,14,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Bait and Check Traps,15:25:00,44,1,Jeffie McNeil,None,80,Calm,22,23,"2,3-3,9",391,0,,78124,Incidental to trapping,334575,4922606,1,Point,10,M,15
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Visual Survey,09:50:00,27,1,"Jeffie McNeil, Kim Inglis",None,70,Calm,23,24,"8-8,9",639,0,,37560,Visual survey,334595,4922608,0,,,M,
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Visual Survey,09:50:00,27,1,"Jeffie McNeil, Kim Inglis",None,70,Calm,23,24,"2,3-3,10",388,0,,37847,Visual survey,334595,4922608,0,,,F,20+
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,10:46:00,28,2,"Jeffie McNeil, Kim Inglis",None,70,Calm,25,23,"11-9,10",275,0,,37603,Visual survey,335038,4922460,1,Point,10,M,20+
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,10:46:00,28,2,"Jeffie McNeil, Kim Inglis",None,70,Calm,25,23,"2,3-3,11",389,0,,37863,Visual survey,335038,4922460,0,,,F,20+
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Visual Survey,11:19:00,21,1,"Jeffie McNeil, Kim Inglis",None,70,Calm,25,24,"11-2,10",262,0,,37912,Visual survey,334922,4922359,0,,,F,20+
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Set Traps,12:15:00,122,2,"Jeffie McNeil, Kim Inglis",None,70,Calm,25,26,"8-8,9",639,0,,37561,Incidental to trapping,334597,4922623,0,,,M,
16133,2002-08-20,2002,8,20,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Set Traps,12:15:00,122,2,"Jeffie McNeil, Kim Inglis",None,70,Calm,25,26,"2,3-3,10",388,0,,37848,Incidental to trapping,334606,4922612,0,,,F,20+
16135,2002-08-21,2002,8,21,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Check Traps,09:52:00,64,2,"Jeffie McNeil, Janine Beckett",None,0,Calm,24,23,"2,3-3,10",388,0,,37849,Incidental to trapping,334598,4922632,0,,,F,20+
16135,2002-08-21,2002,8,21,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:40:00,15,1,"Jeffie McNeil, Janine Beckett",None,0,Calm,24,23,"2,3-2,8",385,0,,37627,Visual survey,335028,4922459,1,Point,10,M,20+
16135,2002-08-21,2002,8,21,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:40:00,15,1,"Jeffie McNeil, Janine Beckett",None,0,Calm,24,23,"2,3-3,11",389,0,,37864,Visual survey,335028,4922459,0,,,F,20+
16135,2002-08-21,2002,8,21,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:10:00,30,2,"Jeffie McNeil, Janine Beckett",None,0,Calm,24,23,"11-1,2",257,0,,37574,Visual survey,335041,4922455,0,,,M,20+
16135,2002-08-21,2002,8,21,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:10:00,30,2,"Jeffie McNeil, Janine Beckett",None,0,Calm,24,23,"11-9,11",276,0,,37792,Visual survey,335041,4922455,0,,,F,
16136,2002-08-22,2002,8,22,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Check Traps,11:49:00,32,2,"Jeffie McNeil, Brennan Caverhill",None,70,Light,26,23,"8-8,10",637,0,,37707,Incidental to trapping,334606,4922612,0,,,F,
16136,2002-08-22,2002,8,22,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Check Traps,11:49:00,32,2,"Jeffie McNeil, Brennan Caverhill",None,70,Light,26,23,"2,3-3,10",388,0,,37850,Incidental to trapping,334606,4922612,0,,,F,20+
16136,2002-08-22,2002,8,22,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:21:00,28,2,"Jeffie McNeil, Brennan Caverhill",None,70,Light,26,23,"11-9,11",276,0,,37793,Visual survey,335041,4922466,0,,,F,
16137,2002-08-23,2002,8,23,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Pull Traps,13:20:00,80,2,"Jeffie McNeil, Kim Inglis",None,0,Calm,,25,"2,3-3,10",388,0,,37851,Incidental to trapping,,,0,,,F,20+
16137,2002-08-23,2002,8,23,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Pull Traps,13:20:00,80,2,"Jeffie McNeil, Kim Inglis",None,0,Calm,,25,"2,3-3,9",391,0,,78129,Incidental to trapping,334579,4922614,1,Point,10,M,15
16204,2015-04-12,2015,4,12,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,12:56:00,132,3,"Jeffie McNeil, Troy Frech, Seth McFrech, Boomer",None,0,Light,7,5,"11-3,8",270,0,,78285,Human find during dog and visual survey,334744,4922700,1,Point,10,M,20+
16204,2015-04-12,2015,4,12,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,12:56:00,132,3,"Jeffie McNeil, Troy Frech, Seth McFrech, Boomer",None,0,Light,7,5,unknown,718,0,,78986,Human find during dog and visual survey,334744,4922700,1,Point,10,,20+
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"11-3,8",270,0,,78286,Visual survey,334739,4922696,1,Point,10,M,20+
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"8-3,4",633,0,,78287,Visual survey,334761,4922699,0,,,M,20+
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"2,3-3,10",388,0,,78288,Visual survey,334760,4922701,0,,,F,20+
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"2,3-3,8",390,0,,78289,Visual survey,334759,4922700,0,,,M,
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"1,11-3,11",3352,0,,78290,Visual survey,334769,4922708,0,,,,4
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"8-8,9",639,0,,78291,Visual survey,334776,4922709,0,,,M,
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"1,10-2,3",97,0,,78293,Visual survey,334739,4922696,0,,,M,20+
16205,2015-04-20,2015,4,20,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:54:00,636,3,"Kim Dubois, Gabrielle Theroux,. Jeffie McNeil",None,0,Light,12,8,"2,8-1,10",401,0,,78294,Visual survey,334739,4922696,1,Point,10,M,15
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"8,9-8,9",612,0,,78308,Human find during dog and visual survey,334758,4922708,1,Point,10,M,18
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"2,3-3,8",390,0,,78311,Human find during dog and visual survey,334749,4922701,1,Point,10,M,
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"1,11-2,4",1113,0,,78312,Sniffer dog find,334749,4922701,1,Point,10,,13
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"2,3-3,10",388,0,,78315,Human find during dog and visual survey,334749,4922701,1,Point,10,F,20+
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"3,9-1",555,0,,78316,Human find during dog and visual survey,334779,4922696,1,Point,10,,15
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"4,9-2",3354,0,,78318,Human find during dog and visual survey,334779,4922696,1,Point,10,,3
16233,2015-04-22,2015,4,22,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Dog and visual survey,14:20:00,520,4,"Jeffie McNeil, Gabrielle Théroux, Kim Dubois, Laura Kersey, Boomer",None,0,Light,16,9,"2,11-4,10",3353,0,,78319,Human find during dog and visual survey,334779,4922696,1,Point,10,,5
16289,2015-04-24,2015,4,24,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,14:05:00,120,2,"Laura Kersey, Kim Dubois",Drizzle / Mist,80,Calm,10,8,"2,3-3,10",388,0,,78321,Visual survey,334749,4922696,0,,,F,20+
16291,2015-04-26,2015,4,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:48:00,216,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,45,Calm,9,8,"2,3-3,8",390,0,,78322,Visual survey,334762,4922660,0,,,M,
16291,2015-04-26,2015,4,26,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,11:48:00,216,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,45,Calm,9,8,"1,10-2,3",97,0,,78324,Visual survey,334751,4922668,0,,,M,20+
16310,2014-04-10,2014,4,10,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:00:00,240,4,"Diane Clapp, Harold Clapp, Holly Simpson, Camille Tedesco",None,0,Light,11,5,"11-1,3",258,0,,78347,Visual survey,334462,4922401,1,Point UTM Only,10,M,20+
16310,2014-04-10,2014,4,10,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,15:00:00,240,4,"Diane Clapp, Harold Clapp, Holly Simpson, Camille Tedesco",None,0,Light,11,5,"2,10-1,3",304,0,,78348,Visual survey,334462,4922401,1,Point UTM Only,10,F,25
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,0-11,77,0,,78364,Visual survey,334442,4922402,0,,,M,20+
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"2,3-2,9",386,0,,78366,Visual survey,334442,4922402,0,,,M,
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"9-3,8",705,0,,78367,Visual survey,334459,4922407,0,,,F,20+
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"2,10-1,3",304,0,,78368,Visual survey,334459,4922407,0,,,F,26
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"1,10-2",1112,0,,78369,Visual survey,334459,4922407,0,,,,14
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"11-1,2",257,0,,78370,Visual survey,334459,4922406,0,,,M,20+
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"11-2,8",266,0,,78371,Visual survey,334459,4922406,0,,,F,20+
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"8-9,11",642,0,,78372,Visual survey,334459,4922407,0,,,F,20+
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"2,11-2",338,0,,78373,Visual survey,334455,4922396,0,,,,20
16312,2015-05-02,2015,5,2,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,16:21:00,345,3,"Kim Dubois, Gabrielle Théroux and Emily Patterson",None,10,Calm,15,8,"11-2,3",265,0,,78387,Visual survey,334459,4922407,0,,,F,
16315,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,14:40:00,240,3,"Kim Dubois
Emily Patterson
Gabrielle Theroux-Loiselle",None,10,Calm,16,12,"1,11-3,11",3352,0,,78374,Visual survey,334768,4922690,0,,,,4
16315,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,14:40:00,240,3,"Kim Dubois
Emily Patterson
Gabrielle Theroux-Loiselle",None,10,Calm,16,12,"2,3-3,8",390,0,,78375,Visual survey,334736,4922659,0,,,M,
16315,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,14:40:00,240,3,"Kim Dubois
Emily Patterson
Gabrielle Theroux-Loiselle",None,10,Calm,16,12,"1,11-9,11",3355,0,,78376,Visual survey,334777,4922686,0,,,,5
16315,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),1C (West Bog 1C),Visual Survey,14:40:00,240,3,"Kim Dubois
Emily Patterson
Gabrielle Theroux-Loiselle",None,10,Calm,16,12,"8-8,9",639,0,,78380,Visual survey,334750,4922669,0,,,M,
16316,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:43:00,204,3,"Jeffie McNeil, Troy Frech, Seth McFrech",None,15,Calm,20,19,"11-3,9",271,0,,78382,Visual survey,335076,4922515,0,,,M,20+
16316,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:43:00,204,3,"Jeffie McNeil, Troy Frech, Seth McFrech",None,15,Calm,20,19,"2,3-3,11",389,0,,78383,Visual survey,335078,4922532,0,,,F,20+
16316,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:43:00,204,3,"Jeffie McNeil, Troy Frech, Seth McFrech",None,15,Calm,20,19,"1,11-2,8",116,0,,78384,Visual survey,335078,4922532,0,,,F,
16316,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:43:00,204,3,"Jeffie McNeil, Troy Frech, Seth McFrech",None,15,Calm,20,19,"11-9,11",276,0,,78385,Visual survey,335068,4922527,0,,,F,
16316,2015-05-03,2015,5,3,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,13:43:00,204,3,"Jeffie McNeil, Troy Frech, Seth McFrech",None,15,Calm,20,19,"11-2,11",263,0,,78386,Visual survey,,,0,,,M,
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,0-11,77,0,,78388,Human find during dog and visual survey,334453,4922404,0,,,M,20+
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"11-1,2",257,0,,78389,Human find during dog and visual survey,334417,4922413,0,,,M,20+
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"2,11-2",338,0,,78390,Human find during dog and visual survey,334463,4922411,0,,,,20
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"8-9,10",641,0,,78391,Sniffer dog find,334463,4922241,0,,,M,20+
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"11-2,8",266,0,,78392,Sniffer dog find,334461,4922414,0,,,F,20+
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"11-2,3",265,0,,78393,Sniffer dog find,334471,4922430,0,,,F,
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"9-3,8",705,0,,78394,Human find during dog and visual survey,334471,4922430,0,,,F,20+
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"12-1,10",280,0,,78395,Human find during dog and visual survey,334433,4922394,0,,,,9
16317,2015-05-04,2015,5,4,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Dog and visual survey,12:00:00,150,1,Jeffie McNeil,None,0,Calm,22,6,"1-3,10",3357,0,,78408,Sniffer dog find,334417,4922413,0,,,,14
16318,2015-05-14,2015,5,14,ML (McGowan Lake),WB (West Bog),LB (Leatherleaf Bog),Dog and visual survey,14:55:00,50,1,Jeffie McNeil,None,0,Light,,,"12-9,10",295,0,,78396,Sniffer dog find,334634,4922340,1,Point,10,,9
16318,2015-05-14,2015,5,14,ML (McGowan Lake),WB (West Bog),LB (Leatherleaf Bog),Dog and visual survey,14:55:00,50,1,Jeffie McNeil,None,0,Light,,,"3,9-2",3356,0,,78400,Human find during dog and visual survey,334636,4922346,1,Point,10,,7
16318,2015-05-14,2015,5,14,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Visual Survey,15:50:00,10,1,Jeffie McNeil,None,0,Light,,,"11-2,10",262,0,,78397,Visual survey,334906,4922386,0,,,F,20+
16318,2015-05-14,2015,5,14,ML (McGowan Lake),WB (West Bog),2A (West Bog 2A),Visual Survey,17:50:00,10,1,Jeffie McNeil,None,0,Light,,,"2,3-2,9",386,0,,78401,Visual survey,334726,4922334,1,Point,10,M,
16324,2009-06-30,2009,6,30,ML (McGowan Lake),WB (West Bog),WR (Woods Road),Radio Tracking,14:34:00,16,1,Troy Frech,None,100,Calm,,,"8-8,10",637,0,,78403,Incidental to radio tracking,334390,4921943,1,Point,10,F,
16332,2009-10-27,2009,10,27,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,14:50:00,40,1,Jeffie McNeil,None,100,Calm,6,,"8-9,11",642,0,,78415,Visual survey,334442,4922386,1,Point,10,F,20+
16332,2009-10-27,2009,10,27,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,14:50:00,40,1,Jeffie McNeil,None,100,Calm,6,,"8-10,11",622,0,,78416,Visual survey,334442,4922386,1,Point,10,F,
16332,2009-10-27,2009,10,27,ML (McGowan Lake),WB (West Bog),1S (West Bog 1S),Visual Survey,14:50:00,40,1,Jeffie McNeil,None,100,Calm,6,,"2,3-8,10",393,0,,78418,Visual survey,334442,4922386,1,Point,10,M,
16334,2015-05-30,2015,5,30,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,15:20:00,55,1,Jeffie McNeil,None,80,Moderate,24,,"11-9,11",276,0,,78421,Visual survey,335057,4922507,1,Within section,25,F,
16334,2015-05-30,2015,5,30,ML (McGowan Lake),WB (West Bog),BC (West Bog Cove),Visual Survey,16:15:00,15,1,Jeffie McNeil,None,90,Moderate,24,,"2,3-2,9",386,0,,78420,Visual survey,335033,4922371,0,,,M,
16334,2015-05-30,2015,5,30,ML (McGowan Lake),WB (West Bog),NC (North Cove),Visual Survey,16:30:00,20,1,Jeffie McNeil,None,85,Moderate,24,,"1,11-2,8",116,0,,78419,Visual survey,335308,4922314,1,Within section,25,F,
16337,2015-06-04,2015,6,4,ML (McGowan Lake),WB (West Bog),1B (West Bog 1B),Visual Survey,11:00:00,216,4,"Kim Dubois, Jeffie McNeil, Krista Jagger, Lauren Lawrence",None,20,Calm,17,13,"8-8,10",637,0,,78430,Visual survey,334599,4922611,0,,,F,
16337,2015-06-04,2015,6,4,ML (McGowan Lake),WB (West Bog),1M (West Bog 1M),Visual Survey,11:54:00,40,4,"Kim Dubois, Jeffie McNeil, Krista Jagger, Lauren Lawrence",None,20,Calm,17,13,"2,11-2",338,0,,78431,Visual survey,334736,4922503,0,,,,20
16337,2015-06-04,2015,6,4,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:04:00,500,4,"Kim Dubois, Jeffie McNeil, Krista Jagger, Lauren Lawrence",None,20,Calm,17,13,"12-8,10",293,0,,78432,Visual survey,334957,4922485,0,,,,9
16337,2015-06-04,2015,6,4,ML (McGowan Lake),WB (West Bog),2B (West Bog 2B),Visual Survey,12:04:00,500,4,"Kim Dubois, Jeffie McNeil, Krista Jagger, Lauren Lawrence",None,20,Calm,17,13,"1,11-2,4",1113,0,,78433,Visual survey,335018,4922445,0,,,,13
